"","yrQtr","pedAgeGrp","hover","se","ci_l","ci_u"
"2020.5.5-9",2020.5,"5-9",2158.6218,490.331075635159,1197.5905512543,3119.6530487457
"2020.75.5-9",2020.75,"5-9",3239.796,698.864852657779,1870.04605872986,4609.54594127014
"2021.5-9",2021,"5-9",3518.7219,891.440881457122,1771.5298779974,5265.9139220026
"2021.25.5-9",2021.25,"5-9",2820.6092,687.742812268016,1472.6580573284,4168.5603426716
"2021.5.5-9",2021.5,"5-9",1948.1794,432.743497157987,1100.01773102643,2796.34106897357
"2021.75.5-9",2021.75,"5-9",2654.2027,622.669900093318,1433.79212155994,3874.61327844006
"2022.5-9",2022,"5-9",2324.7564,840.058126663698,678.272726818965,3971.24007318103
"2022.25.5-9",2022.25,"5-9",1700.3333,334.136700372091,1045.43740135765,2355.22919864235
"2022.5.5-9",2022.5,"5-9",1606.3783,347.227261124522,925.825373745452,2286.93122625455
"2022.75.5-9",2022.75,"5-9",2022.137,827.03824601772,401.171823968092,3643.10217603191
"2019.10-14",2019,"10-14",1554.02,384.448691242674,800.5144112608,2307.5255887392
"2019.25.10-14",2019.25,"10-14",1816.4287,291.14941365238,1245.78633512138,2387.07106487862
"2019.5.10-14",2019.5,"10-14",1596.7819,346.793464527367,917.079199452492,2276.48460054751
"2019.75.10-14",2019.75,"10-14",2450.5225,694.945970686453,1088.45342625333,3812.59157374667
"2020.10-14",2020,"10-14",1512.9216,410.43934973632,708.475256678773,2317.36794332123
"2020.25.10-14",2020.25,"10-14",2778.9789,522.104806048155,1755.67228399035,3802.28551600965
"2020.5.10-14",2020.5,"10-14",1573.7289,309.424613368806,967.26780186691,2180.18999813309
"2020.75.10-14",2020.75,"10-14",1691.4949,470.818957923157,768.706699231933,2614.28310076807
"2021.10-14",2021,"10-14",1673.5608,437.627778232119,815.826116030766,2531.29548396923
"2021.25.10-14",2021.25,"10-14",1825.3811,570.431936077671,707.355049656311,2943.40715034369
"2021.5.10-14",2021.5,"10-14",934.5747,222.280545927628,498.912835517949,1370.23656448205
"2021.75.10-14",2021.75,"10-14",1725.8478,697.450189761363,358.870547057103,3092.8250529429
"2022.10-14",2022,"10-14",1153.5756,272.558768436406,619.370230194051,1687.78096980595
"2022.25.10-14",2022.25,"10-14",909.2942,423.719548984408,78.8191444450057,1739.76925555499
"2022.5.10-14",2022.5,"10-14",1523.7579,434.675773311358,671.809039357641,2375.70676064236
"2022.75.10-14",2022.75,"10-14",597.6697,278.14951744032,52.5066634997768,1142.83273650022
"2019.15-19",2019,"15-19",327.6396,150.81026359261,32.0569148594916,623.222285140508
"2019.25.15-19",2019.25,"15-19",240.5864,114.633729298613,15.9084191612037,465.264380838796
"2019.5.15-19",2019.5,"15-19",41.6283,25.8181424755926,-8.97432939988528,92.2309293998853
"2019.75.15-19",2019.75,"15-19",159.0367,99.7088886912797,-36.3891307734213,354.462530773421
"2020.15-19",2020,"15-19",25.7012,18.7110449905931,-10.9717742946711,62.3741742946711
"2020.25.15-19",2020.25,"15-19",72.2509,58.4827167078445,-42.3731184654342,186.874918465434
"2020.5.15-19",2020.5,"15-19",140.9488,82.1008447862172,-19.9658988812987,301.863498881299
"2020.75.15-19",2020.75,"15-19",341.3276,163.562671182318,20.7506552674899,661.90454473251
"2021.15-19",2021,"15-19",55.2066,28.01313537673,0.301863567564389,110.111336432436
"2021.25.15-19",2021.25,"15-19",296.0802,130.474171688257,40.3555225783201,551.80487742168
"2021.5.15-19",2021.5,"15-19",376.8412,152.414913859627,78.113458128357,675.568941871643
"2021.75.15-19",2021.75,"15-19",158.8994,101.328517160077,-39.7008442405996,357.4996442406
"2022.15-19",2022,"15-19",175.7861,99.9320387774532,-20.0770969054684,371.649296905468
"2022.25.15-19",2022.25,"15-19",12.5018,8.20856027014308,-3.58668249440681,28.5902824944068
"2022.5.15-19",2022.5,"15-19",113.5537,83.6830775202917,-50.4621180552451,277.569518055245
"2022.75.15-19",2022.75,"15-19",0,0,0,0
"2019.Adult",2019,"Adult",1380.4037,257.340239155929,876.026099481456,1884.78130051854
"2019.25.Adult",2019.25,"Adult",1556.0941,438.633732663833,696.387781574518,2415.80041842548
"2019.5.Adult",2019.5,"Adult",1177.5784,242.431210571698,702.421958551026,1652.73484144897
"2019.75.Adult",2019.75,"Adult",1155.1063,290.003326229105,586.710225194135,1723.50237480587
"2020.Adult",2020,"Adult",2005.7606,387.135445164676,1246.98907033835,2764.53212966165
"2020.25.Adult",2020.25,"Adult",1500.4369,329.241582322788,855.135256434356,2145.73854356564
"2020.5.Adult",2020.5,"Adult",1484.7461,381.327792806291,737.357359795518,2232.13484020448
"2020.75.Adult",2020.75,"Adult",1994.1697,410.396645097532,1189.80705623277,2798.53234376723
"2021.Adult",2021,"Adult",1553.111,376.406436150073,815.367941596782,2290.85405840322
"2021.25.Adult",2021.25,"Adult",948.1905,247.041568513942,463.997923028389,1432.38307697161
"2021.5.Adult",2021.5,"Adult",1176.625,245.089898239772,696.257626475461,1656.99237352454
"2021.75.Adult",2021.75,"Adult",962.0166,240.796339999094,490.064445992715,1433.96875400729
"2022.Adult",2022,"Adult",958.7572,256.204133267444,456.606326105509,1460.90807389449
"2022.25.Adult",2022.25,"Adult",943.7375,236.967586391229,479.289565169808,1408.18543483019
"2022.5.Adult",2022.5,"Adult",637.718,191.417205208784,262.547171769471,1012.88882823053
"2022.75.Adult",2022.75,"Adult",696.0263,213.095113919516,278.367551436289,1113.68504856371
